epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,13614,0.77022,0.52982,0.96855,0.01985,0.92158,0.87439,0.92491,0.76446,0.70349,0.49901,0.96397,0.01479,0.000410409,0.000410409,0.000410409
38,13982.1,0.77181,0.52844,0.96883,0.02061,0.92322,0.87905,0.92866,0.76802,0.70101,0.49422,0.96086,0.01383,0.000382115,0.000382115,0.000382115
39,14352.9,0.75983,0.51948,0.963,0.01912,0.92355,0.87137,0.92266,0.76581,0.69942,0.50523,0.9586,0.01369,0.00035382,0.00035382,0.00035382
40,14723,0.7583,0.51607,0.96304,0.01963,0.92581,0.87678,0.92814,0.76927,0.69725,0.48934,0.95786,0.01391,0.000325526,0.000325526,0.000325526
41,15060.6,0.73973,0.50994,0.94988,0.01789,0.92583,0.8675,0.92282,0.76658,0.69809,0.49551,0.95649,0.01415,0.000297232,0.000297232,0.000297232
42,15393.3,0.73576,0.50008,0.95188,0.01799,0.92497,0.87809,0.92589,0.76746,0.69774,0.4856,0.96266,0.0133,0.000268938,0.000268938,0.000268938
43,15726.4,0.72866,0.49274,0.95019,0.01718,0.92546,0.8736,0.92391,0.76614,0.69803,0.49242,0.96273,0.01361,0.000240644,0.000240644,0.000240644
44,16057.9,0.72293,0.48826,0.94567,0.01695,0.91787,0.88243,0.92746,0.76878,0.69514,0.48116,0.96108,0.01408,0.000212349,0.000212349,0.000212349
45,16383.4,0.71413,0.47805,0.94346,0.01637,0.92488,0.87682,0.928,0.76878,0.69459,0.47878,0.96125,0.01346,0.000184055,0.000184055,0.000184055
46,16708.9,0.71392,0.47516,0.94198,0.01635,0.92784,0.87772,0.92897,0.76944,0.69366,0.47815,0.96198,0.01355,0.000155761,0.000155761,0.000155761
47,17036.3,0.70728,0.47147,0.94161,0.01679,0.9243,0.87998,0.92966,0.77072,0.69163,0.47521,0.95551,0.0133,0.000127467,0.000127467,0.000127467
48,17360.4,0.70986,0.47166,0.93298,0.01635,0.92694,0.87923,0.92932,0.77013,0.69174,0.47699,0.95582,0.01472,9.91726e-05,9.91726e-05,9.91726e-05
49,17683.6,0.70644,0.46817,0.93348,0.01601,0.92721,0.87873,0.92906,0.77096,0.6897,0.47377,0.95626,0.01332,7.08784e-05,7.08784e-05,7.08784e-05
50,18011,0.69927,0.46031,0.93548,0.01633,0.9309,0.87306,0.92861,0.77025,0.68887,0.47575,0.95479,0.01393,4.25842e-05,4.25842e-05,4.25842e-05
